key,octave,scale,fh_1,fh_2,fh_3,fh_4,fh_5,fh_6,fh_7,"(7, 'fh_1')"
E,5,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0,0.2641509433962264
D#,5,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0,0.2641509433962264
D,5,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0,0.2641509433962264
C#,5,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0,0.2641509433962264
C,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0,0.2641509433962264
B,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0,0.2641509433962264
A#,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0,0.2641509433962264
A,4,Minor Pent,0.28679245283018867,0.3636,0.4479,0.5263,0.5973,0.6688,0,0.2641509433962264
G#,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0,0.2641509433962264
G,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0,0.2641509433962264
F#,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0,0.2641509433962264
F,4,Minor Pent,0.31,0.39,0.48,0.55,0.62,0.68,0,0.2641509433962264
E,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0,0.2641509433962264
D#,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0,0.2641509433962264
D,4,Minor Pent,0.33,0.4,0.48,0.57,0.62,0.67,0,0.2641509433962264
C#,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0,0.2641509433962264
C,3,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0,0.2641509433962264
B,3,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0,0.2641509433962264
A#,3,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.7,0,0.2641509433962264
A,3,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0,0.2641509433962264
G#,3,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0,0.2641509433962264
G,3,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0,0.2641509433962264
