0,1,2,3,4,5,6,7,8,9,10,11,12
(C),C#/Db,D,D#/Eb,E,F,F#/Gb,G,G#/Ab,A,A#/Bb,B,C
(C#),D,D#/Eb,E,F,F#/Gb,G,G#/Ab,A,A#/Bb,B,C,C#/Db
(D),D#/Eb,E,F,F#/Gb,G,G#/Ab,A,A#/Bb,B,C,C#/Db,D
(D#),E,F,F#/Gb,G,G#/Ab,A,A#/Bb,B,C,C#/Db,D,D#/Eb
(E),F,F#/Gb,G,G#/Ab,A,A#/Bb,B,C,C#/Db,D,D#/Eb,E
(F),F#/Gb,G,G#/Ab,A,A#/Bb,B,C,C#/Db,D,D#/Eb,E,F
(F#),G,G#/Ab,A,A#/Bb,B,C,C#/Db,D,D#/Eb,E,F,F#/Gb
(G),G#/Ab,A,A#/Bb,B,C,C#/Db,D,D#/Eb,E,F,F#/Gb,G
(G#),A,A#/Bb,B,C,C#/Db,D,D#/Eb,E,F,F#/Gb,G,G#/Ab
(A),A#/Bb,B,C,C#/Db,D,D#/Eb,E,F,F#/Gb,G,G#/Ab,A
(A#),B,C,C#/Db,D,D#/Eb,E,F,F#/Gb,G,G#/Ab,A,A#/Bb
(B),C,C#/Db,D,D#/Eb,E,F,F#/Gb,G,G#/Ab,A,A#/Bb,B
