id,key,octave,scale,fh_1,fh_2,fh_3,fh_4,fh_5,fh_6,fh_7
1,E,5,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
2,D#,5,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
3,D,5,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
4,C#,5,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
5,C,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
6,B,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
7,A#,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
8,A,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
9,G#,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
10,G,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
11,F#,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
12,F,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
13,E,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
14,D#,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
15,D,4,Minor Pent,0.33,0.4,0.48,0.57,0.62,0.67,0.0
16,C#,4,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
17,C,3,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
18,B,3,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
19,A#,3,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.7,0.0
20,A,3,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
21,G#,3,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
22,G,3,Minor Pent,0.33,0.4,0.48,0.56,0.63,0.68,0.0
